Movie1,Movie2,Support,Confidence,Lift
Harry Potter 2,Harry Potter 1,0.0025448700776855076,0.441860465116279,28.19598489365931
Harry Potter 2,crimes of grindelwald,0.0025448700776855076,0.441860465116279,23.06944218572125
Harry Potter 1,Harry Potter 2,0.0025448700776855076,0.9500000000000001,12.001184433164129
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.0021430484864720066,0.29629629629629634,10.584440900230376
The Silence of the Lambs,inception,0.002009107956067506,0.20547945205479454,9.29763387297634
inception,The Dark Knight,0.002009107956067506,0.32608695652173914,9.084198572355614
Billa,The Intouchables,0.0030806321993035093,0.38333333333333336,7.9720519962859795
Billa,The Dark Knight,0.0030806321993035093,0.38333333333333336,7.9720519962859795
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.2777777777777778,7.796574770258982
The Lord of the rings,The Lord of the Rings: The Fellowship of the Ring,0.0024109295472810074,0.20930232558139536,7.476799821965061
inception,The Intouchables,0.002009107956067506,0.34883720930232553,7.254647923819394
inception,The Dark Knight,0.002009107956067506,0.34883720930232553,7.254647923819394
The Lion King,Billa,0.0021430484864720066,0.6666666666666667,6.961305361305362
inception,The Silence of the Lambs,0.002009107956067506,0.21739130434782608,6.734620241746346
inception,The Silence of the Lambs,0.002009107956067506,0.34883720930232553,6.5934648219016765
inception,Billa,0.002009107956067506,0.6,6.265174825174825
The Silence of the Lambs,Billa,0.002009107956067506,0.6,6.265174825174825
Comedy nights with Kapil,The Dark Knight,0.00334851326011251,0.29411764705882354,6.116663935769294
Comedy nights with Kapil,The Intouchables,0.00334851326011251,0.29411764705882354,6.116663935769294
The Dark Knight,Comedy nights with Kapil,0.0038842753817305118,0.40277777777777773,6.099673202614379
The Dark Knight,Comedy nights with Kapil,0.0038842753817305118,0.40277777777777773,6.087325686009897
Interstellar,inception,0.002276989016876507,0.25,6.079804560260587
The Silence of the Lambs,inception,0.002009107956067506,0.25,6.079804560260587
Comedy nights with Kapil,The Dark Knight,0.002009107956067506,0.2777777777777778,5.776849272671
Comedy nights with Kapil,The Intouchables,0.002009107956067506,0.2777777777777778,5.776849272671
The Silence of the Lambs,The Lord of the Rings: The Fellowship of the Ring,0.002009107956067506,0.20547945205479454,5.767329282109384
Interstellar,inception,0.002276989016876507,0.5666666666666667,5.7482789855072465
Saaho,The Lion King,0.0021430484864720066,0.39024390243902446,5.679456092806543
The Intouchables,The Dark Knight,0.0030806321993035093,0.2017543859649123,5.620515841843416
The Pianist,The Lord of the Rings: The Fellowship of the Ring,0.002276989016876507,0.3333333333333333,5.567486950037285
Interstellar,inception,0.002276989016876507,0.5483870967741935,5.562850631136044
Prision Break,Comedy nights with Kapil,0.002009107956067506,0.36585365853658536,5.540493741651413
Prision Break,Comedy nights with Kapil,0.002009107956067506,0.36585365853658536,5.5292781672756
The Wolf of Wall Street,inception,0.0030806321993035093,0.2169811320754717,5.510139905018612
The Dark Knight,Schindler's List,0.0030806321993035093,0.27710843373493976,5.487776037838357
Game of thrones,Prision Break,0.0024109295472810074,0.32727272727272727,5.441911318080583
Comedy nights with Kapil,The Lion King,0.0021430484864720066,0.37209302325581395,5.415295344303912
The Lord of the Rings: The Return of the King,Harry Potter 2,0.002009107956067506,0.42857142857142855,5.4140681653372
The Lord of the Rings: The Fellowship of the Ring,The Dark Knight,0.002009107956067506,0.2542372881355932,5.287285774987017
The Lord of the Rings: The Fellowship of the Ring,The Intouchables,0.002009107956067506,0.2542372881355932,5.287285774987017
Comedy nights with Kapil,The Dark Knight,0.002276989016876507,0.2537313432835821,5.276763813245749
Comedy nights with Kapil,The Intouchables,0.002276989016876507,0.2537313432835821,5.276763813245749
Comedy nights with Kapil,Schindler's List,0.002276989016876507,0.265625,5.2603614058355435
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.002276989016876507,0.3148148148148148,5.258182119479659
The Silence of the Lambs,The Dark Knight,0.0025448700776855076,0.25,5.1991643454039
The Silence of the Lambs,The Intouchables,0.0025448700776855076,0.25,5.1991643454039
The Lord of the rings,Interstellar,0.0029466916688990086,0.25581395348837205,5.161910747957259
Captain America,Black Panther,0.00334851326011251,0.24509803921568626,5.154653410660038
Captain America,Black Panther,0.00334851326011251,0.24509803921568626,5.140174047146949
The Silence of the Lambs,inception,0.002009107956067506,0.5,5.072010869565218
Comedy nights with Kapil,Billa,0.0021430484864720066,0.4848484848484849,5.0627675354948085
12 Angry Men,Interstellar,0.0024109295472810074,0.25,5.044594594594595
The Wolf of Wall Street,inception,0.0030806321993035093,0.48936170212765956,4.964095744680851
The Silence of the Lambs,Billa,0.002009107956067506,0.46874999999999994,4.894667832167832
Interstellar,The Lord of the Rings: The Fellowship of the Ring,0.0021430484864720066,0.2909090909090909,4.858897701850721
The Lord of the Rings: The Fellowship of the Ring,The Lion King,0.0021430484864720066,0.33333333333333337,4.851202079272255
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0021430484864720066,0.32,4.846085192697769
The Lord of the Rings: The Fellowship of the Ring,Comedy nights with Kapil,0.0021430484864720066,0.32,4.836275303643725
The Silence of the Lambs,Comedy nights with Kapil,0.002009107956067506,0.3191489361702127,4.833196668249104
Game of thrones,Prision Break,0.004553978033753014,0.2905982905982906,4.832086498010774
The Silence of the Lambs,Comedy nights with Kapil,0.002009107956067506,0.3191489361702127,4.823412869325523
inception,The Intouchables,0.0021430484864720066,0.2318840579710145,4.822413305881878
inception,The Dark Knight,0.0021430484864720066,0.2318840579710145,4.822413305881878
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.0021430484864720066,0.8421052631578948,4.817745513208309
Interstellar,inception,0.0028127511384945084,0.4666666666666667,4.733876811594203
Comedy nights with Kapil,The Lord of the Rings: The Fellowship of the Ring,0.002276989016876507,0.2833333333333333,4.732363907531693
The Godfather: Part II,The Dark Knight,0.002009107956067506,0.2272727272727273,4.726513041276273
The Godfather: Part II,The Intouchables,0.002009107956067506,0.2272727272727273,4.726513041276273
